LocID,Cat,Date_,Time_,Datetime,Latitude,Longitude,Northing,Easting,Long Zone
43,B1,19-Apr-05,17:03,38461.71098,44.38980007,-73.22662032,4916697.979,641245.5032,18
56,B1,20-Apr-05,20:02,38462.8353,44.38136508,-73.23969458,4915738.579,640224.3031,18
68,B1,21-Apr-05,0:03,38463.00222,44.39327972,-73.23819852,4917064.579,640315.0032,18
79,B1,21-Apr-05,4:03,38463.1691,44.39113972,-73.23016194,4916840.679,640960.2032,18
86,B1,21-Apr-05,8:03,38463.33609,44.38976028,-73.22631894,4916694.079,641269.6032,18
90,B1,21-Apr-05,17:03,38463.71093,44.38761466,-73.22647666,4916455.479,641262.2032,18
97,B1,22-Apr-05,0:03,38464.00273,44.38964355,-73.22639654,4916680.979,641263.7032,18
98,B1,22-Apr-05,5:03,38464.21093,44.38300017,-73.22313989,4915948.679,641539.1033,18
99,B1,22-Apr-05,10:03,38464.41926,44.3835282,-73.22398009,4916005.879,641470.9032,18
100,B1,22-Apr-05,19:03,38464.79432,44.38400625,-73.22479043,4916057.579,641405.2032,18
113,B1,22-Apr-05,23:23,38464.97473,44.38044822,-73.22374057,4915664.179,641497.4032,18
125,B1,23-Apr-05,3:42,38465.15432,44.38389988,-73.23826779,4916022.579,640331.9031,18
129,B1,23-Apr-05,8:03,38465.33593,44.38170003,-73.24326354,4915769.679,639939.2031,18
132,B1,23-Apr-05,14:03,38465.586,44.38187844,-73.24380051,4915788.579,639896.0031,18
137,B1,23-Apr-05,18:23,38465.76655,44.37802833,-73.24277208,4915362.679,639987.1031,18
148,B1,23-Apr-05,22:42,38465.9463,44.36495639,-73.2621962,4913877.679,638470.503,18
160,B1,24-Apr-05,2:42,38466.11296,44.38239025,-73.25687362,4915823.179,638853.4029,18
170,B1,24-Apr-05,6:43,38466.28,44.38575646,-73.26266671,4916187.279,638384.003,18
178,B1,24-Apr-05,17:03,38466.71107,44.3858414,-73.26256878,4916196.879,638391.6029,18
185,B1,25-Apr-05,0:03,38467.00259,44.3882969,-73.22843722,4916527.879,641104.4032,18
186,B1,25-Apr-05,5:03,38467.21093,44.36427523,-73.2378397,4913843.479,640412.9031,18
